"分類","項目","レベル","関連度","要求事項の要点","主な対象","RTXローカル管理のみの場合","SingleID併用時の説明","RTX側・顧客運用で確認すること","証跡例（SingleID・RTX・顧客運用）"
"ユーザID管理・VPN利用者認証に関する項目","4-1-1-1","★3","高","ユーザIDの付与・変更・削除を申請・承認制にすること。","VPN利用者認証・RTX管理者認証","VPNユーザやRTX管理者を機器ごとにローカル管理する場合、申請・承認記録、退職・異動時の反映、共有アカウント排除、棚卸を個別に管理する必要があります。","SingleID側でユーザを管理し、VPNアクセスやRTX管理者ログインの許可ユーザ・許可グループを制御することで、ユーザ単位の認証と利用権限の停止を整理できます。","申請・承認フロー、台帳、棚卸記録。","SingleIDユーザ一覧、SingleIDグループ設定、顧客運用の申請・承認記録、棚卸記録。"
"ユーザID管理・VPN利用者認証に関する項目","4-1-1-2","★3","高","ユーザIDを共有しないこと。共有が必要な場合は利用者を特定できるようにすること。","VPN利用者認証・RTX管理者認証","共有VPNアカウントや共有管理者アカウントを利用すると、誰がVPN接続したか、誰がRTXへログインしたかを特定しにくくなります。","SingleIDのユーザ単位のRADIUS認証を利用することで、VPN利用者やRTX管理者を個人単位で管理できます。","ローカル共有アカウント、緊急時アカウント、RTX側ログの取得・保管。","SingleIDユーザ一覧、SingleID RADIUS認証ログ、RTXローカルアカウント一覧、顧客運用の共有アカウント利用申請記録。"
"ユーザID管理・VPN利用者認証に関する項目","4-1-1-3","★3","高","不要になったユーザIDを速やかに削除または無効化すること。","VPN利用者認証・RTX管理者認証","RTXのローカル認証DBや管理者アカウントに退職・異動者が残ると、削除漏れがリスクになります。","SingleID側でユーザを無効化・削除することで、SingleID認証を利用するVPN接続やRTX管理者ログインを停止できます。","RTXに残るローカルユーザ、管理者アカウント、緊急時アカウントの棚卸。","SingleID操作ログ（ユーザの無効化）、SingleIDグループ一覧、顧客運用の退職・異動申請、顧客運用の変更記録、RTXローカルアカウント棚卸記録。"
"ユーザID管理・VPN利用者認証に関する項目","4-1-1-4","★3","高","不要になったアクセス権を速やかに削除または無効化すること。","VPN利用者認証・RTX管理者認証","拠点や機器ごとにVPN利用権限や管理者権限を管理している場合、権限変更時の反映漏れが起きやすくなります。","SingleIDのユーザ・グループ制御、および管理権限・一般権限の割り当てにより、VPNアクセス権やRTX管理者ログイン可否の変更を管理できます。","アクセス権変更の申請・承認、棚卸、RTX側の管理アクセス設定。","SingleIDグループ一覧、顧客運用のアクセス権申請記録、顧客運用の変更記録、棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-1","★3","中","すべてのサーバおよびネットワーク機器について、システム管理者および責任者を定めること。","RTX管理者認証","RTXを管理する責任者を機器ごとに明確にする必要があります。","SingleIDは責任者の指定そのものを代替しません。RTX管理者ログインをユーザ単位にすることで、責任者・管理者の対応関係を整理できます。","管理責任者、運用責任者、緊急時対応者の定義。","顧客運用の管理責任者一覧、運用体制表、緊急時対応者一覧、SingleID管理者グループ一覧。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-2","★3","高","管理者IDを共有しないこと。共有が必要な場合は利用者を特定できるようにすること。","RTX管理者認証","RTX管理者アカウントを共有すると、誰がRTXへログインしたかを特定しにくくなります。","RTX管理者ログインでSingleIDのユーザ単位のRADIUS認証を利用することで、管理者ごとの認証として整理できます。","ローカル管理者アカウント、緊急時アカウント、RTX側ログの取得・保管。","SingleID管理者ユーザ一覧、SingleID RADIUS認証ログ、RTX側ログ、RTXローカル管理者アカウント棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-3","★3","高","管理者IDには用途に応じた必要最低限の権限のみを付与すること。","RTX管理者認証","RTX本体側だけで管理者権限を運用する場合、管理対象者の棚卸や権限管理を個別に行う必要があります。","SingleIDの許可ユーザ・許可グループと、管理権限・一般権限の割り当てにより、管理者権限を整理できます。","RTX側の管理画面の閲覧範囲、管理アクセス方式、接続元制限、ローカル管理者の扱い。","SingleID RADIUSサイト設定（管理アクセスの認証）、SingleID管理者グループ一覧、RTX管理アクセス設定、顧客運用の権限棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-5","★3","高","誰が管理者IDを持っているかを把握する仕組みを整備すること。","RTX管理者認証","機器ごとのローカル管理では、管理者の一覧化や棚卸が煩雑になります。","RTX管理者ログインにSingleIDを利用することで、管理者IDの把握と棚卸の基準にできます。","RTX側に残るローカル管理者、緊急時アカウント、設定変更権限の棚卸。","SingleID管理者ユーザ一覧、SingleID管理者グループ一覧、RTXローカルアカウント一覧、顧客運用の棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-6","★3","高","不要になった管理者IDを速やかに削除または無効化すること。","RTX管理者認証","RTX側に管理者アカウントが残ると、退職・異動後の削除漏れがリスクになります。","SingleID側で管理者を無効化・削除することで、SingleID認証を利用するRTX管理アクセスの停止を集中管理できます。","ローカル管理者アカウントと緊急時アカウント。","SingleID操作ログ（ユーザの無効化）、SingleID管理者グループ一覧、顧客運用の変更記録、RTXローカル管理者棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-7","★3","中","管理者IDの付与・変更・削除を申請・承認制にすること。","RTX管理者認証","機器ごとに手動で管理する場合、申請・承認と実設定の対応を個別に確認する必要があります。","申請・承認制そのものは顧客運用として整備します。SingleIDは承認後の管理者ID付与・変更・削除の実施先として利用できます。","申請・承認フロー、証跡、RTX側設定変更手順。","顧客運用の管理者権限申請記録、承認記録、SingleIDグループ一覧、顧客運用の変更記録、RTX設定変更記録。"
