分類,項目,レベル,要求事項の要点,主な対象,RTXローカル管理のみの場合,SingleID併用時の説明,別途確認が必要な点
ユーザID管理・VPN利用者認証に関する項目,4-1-1-1,★3,ユーザIDの付与・変更・削除を申請・承認制にすること。,VPN利用者認証・RTX管理者認証,VPNユーザやRTX管理者を機器ごとにローカル管理する場合、申請・承認記録、退職・異動時の反映、共有アカウント排除、棚卸を別途管理する必要があります。,SingleID側でユーザを管理し、VPNアクセスやRTX管理者ログインの許可ユーザ・許可グループを制御することで、ユーザ単位の認証と利用権限の停止を説明しやすくなります。,申請・承認フロー、台帳、棚卸記録は顧客側の運用として整備する必要があります。
ユーザID管理・VPN利用者認証に関する項目,4-1-1-2,★3,ユーザIDを共有しないこと。共有が必要な場合は利用者を特定できるようにすること。,VPN利用者認証・RTX管理者認証,共有VPNアカウントや共有管理者アカウントを利用すると、誰がVPN接続したか、誰がRTXへログインしたかを特定しにくくなります。,SingleIDのユーザ単位のRADIUS認証に寄せることで、VPN利用者やRTX管理者を個人単位で整理しやすくなります。,ローカル共有アカウント、緊急時アカウント、RTX側ログの取得・保管は別途確認が必要です。
ユーザID管理・VPN利用者認証に関する項目,4-1-1-3,★3,不要になったユーザIDを速やかに削除または無効化すること。,VPN利用者認証・RTX管理者認証,RTXのローカル認証DBや管理者アカウントに退職・異動者が残ると、削除漏れがリスクになります。,SingleID側でユーザを無効化・削除することで、VPN利用やRTX管理者ログインを停止する運用に寄せやすくなります。,RTXに残るローカルユーザ、管理者アカウント、緊急時アカウントは別途棚卸が必要です。
ユーザID管理・VPN利用者認証に関する項目,4-1-1-4,★3,不要になったアクセス権を速やかに削除または無効化すること。,VPN利用者認証・RTX管理者認証,拠点や機器ごとにVPN利用権限や管理者権限を管理している場合、権限変更時の反映漏れが起きやすくなります。,SingleIDのユーザ・グループ制御、および管理権限・一般権限の割り当てを使うことで、VPNアクセス権やRTX管理者ログイン可否の変更を整理しやすくなります。,アクセス権変更の申請・承認、棚卸、RTX側の管理アクセス設定は別途確認が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-1,★3,すべてのサーバおよびネットワーク機器について、システム管理者および責任者を定めること。,RTX管理者認証,RTXを管理する責任者を機器ごとに明確にする必要があります。,SingleIDは責任者の指定そのものを代替するものではありませんが、RTX管理者ログインをユーザ単位にすることで、責任者・管理者の整理をしやすくなります。,管理責任者、運用責任者、緊急時対応者は顧客側の運用として定義する必要があります。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-2,★3,管理者IDを共有しないこと。共有が必要な場合は利用者を特定できるようにすること。,RTX管理者認証,RTX管理者アカウントを共有すると、誰がRTXへログインしたかを特定しにくくなります。,RTX管理者ログインをSingleIDのユーザ単位のRADIUS認証に寄せることで、管理者ごとの認証として説明しやすくなります。,ローカル管理者アカウント、緊急時アカウント、RTX側ログの取得・保管は別途確認が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-3,★3,管理者IDには用途に応じた必要最低限の権限のみを付与すること。,RTX管理者認証,RTX本体側だけで管理者権限を運用する場合、管理対象者の棚卸や権限管理を別途行う必要があります。,SingleIDの許可ユーザ・許可グループと、管理権限・一般権限の割り当てにより、管理者権限を整理しやすくなります。,RTX側の管理画面の閲覧範囲、管理アクセス方式、接続元制限、ローカル管理者の扱いは別途確認が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-5,★3,誰が管理者IDを持っているかを把握する仕組みを整備すること。,RTX管理者認証,機器ごとのローカル管理では、管理者の一覧化や棚卸が煩雑になります。,RTX管理者ログインをSingleIDに寄せることで、管理者IDの把握と棚卸を行いやすくなります。,RTX側に残るローカル管理者、緊急時アカウント、設定変更権限の棚卸が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-6,★3,不要になった管理者IDを速やかに削除または無効化すること。,RTX管理者認証,RTX側に管理者アカウントが残ると、退職・異動後の削除漏れがリスクになります。,SingleID側で管理者を無効化・削除することで、RTX管理アクセスの停止を集中管理しやすくなります。,ローカル管理者アカウントと緊急時アカウントは別途確認が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-7,★3,管理者IDの付与・変更・削除を申請・承認制にすること。,RTX管理者認証,機器ごとに手動で管理する場合、申請・承認と実設定の対応を別途確認する必要があります。,SingleID側の管理プロセスに寄せることで、管理者IDの付与・変更・削除を統制しやすくなります。,申請・承認フロー、証跡、RTX側設定変更手順は顧客側で定義する必要があります。
